what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1347411676361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411695229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411706418
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347411707777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411714245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411717980
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1347411718033
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1347411814620
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1347411818382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411822094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411824291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411831561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411852758
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347411853123
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347411853191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411862852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411863005
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347411880612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347411888892
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1347411889309
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1347411895858
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1347411896016
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1347411899332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347411919724
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1347411920852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347411923208
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1347411925466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347411927782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411934144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411962930
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1347411965739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347411975030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347411976369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411977072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411978351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347411978989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347411983110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347411986681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411994750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347411994831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347411999636
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347412005447
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1347412006157
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1347412007306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347412008735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347412012940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347412014503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347412024701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347412026735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347412029023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347412034930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347412037435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347412039342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347412080699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347412083650
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1347412093060
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1347412148920
